Ticker,Price ($),Daily Chg (%),Weekly Chg (%),YTD Chg (%),RSI (14),20 SMA ($),50 SMA ($),200 SMA ($),Support ($),Resistance ($),Last Wk Vol,Avg Wk Vol,VWAP ($),ATR ($),Beta,Mean Target ($),Vol Breakout
META,612.9,8.8,12.9,-5.6,58.5,578.5,606.5,646.3,540.2,641.8,78.6 M,80.1 M,612.1,21.8,1.2,828.1,🚨 YES
NBIS,229.2,-17,-10.7,154.8,46.6,250.9,213.9,132.3,200.3,299.9,57.7 M,82.6 M,234.6,27.7,1.4,245.4,🚨 YES
SE,102.3,6.8,15,-22.2,66.9,89.5,88.7,119.1,80.8,103.3,15.3 M,19.5 M,100.5,4.8,1.6,140.3,🚨 YES
CRCL,62,-1.1,-10,-25.8,30.8,77.9,96.6,97.4,61.8,99.2,71.8 M,69.9 M,63.3,7.1,N/A,137.8,🚨 YES
SNDK,2032.2,-10.6,-13,638.3,54.1,1956,1593.6,695.1,1514.4,2354.4,33.7 M,62.8 M,2054.8,199.2,N/A,1863.8,🟢 No
MU,1032.3,-10.6,-14.9,227.4,51.8,1048.5,841.6,440.1,854.3,1255,153.6 M,242.4 M,1053.8,95.6,2.2,1486,🟢 No
STX,915.2,-5.2,-10.7,219.1,49.2,956.4,834.5,452.8,801.3,1144.2,13.2 M,20.2 M,912.7,76.7,2.1,948.2,🟢 No
AMAT,650.9,-10,-2.6,142.7,60.4,580.3,485.8,336.6,452.9,739.7,46.7 M,42.3 M,661.2,44.4,1.7,578.9,🟢 No
WDC,598.4,-6.3,-11.4,219,50.5,614.9,526.4,288.2,480.9,799.9,28.5 M,39.5 M,600.5,54.7,2.2,589.9,🟢 No
AMD,540.9,-6.9,1.6,142,56.5,518.1,455.7,276.4,437.2,584.7,89.3 M,175.0 M,547.9,35.4,2.5,508.3,🟢 No
SNPS,454.5,1.9,-0.1,-5.4,43.8,461.7,483.7,456.4,438.5,504.1,6.1 M,9.2 M,457.5,18.2,1.2,563.7,🟢 No
TSM,444.2,-7,2.1,39.7,53,437.5,417.5,341.6,404.6,479,48.5 M,65.8 M,452.1,20.6,1.2,487.6,🟢 No
TER,427.3,-11.7,-9.5,106.1,52.3,416.3,384.8,266.5,340.3,487.9,15.6 M,20.4 M,438.7,34.5,1.8,416.6,🟢 No
DELL,425.2,-1.4,3.9,235.2,61.7,409,319.5,184.8,357.1,444,21.7 M,42.0 M,424.8,29.4,1.4,485.1,🟢 No
LRCX,391.3,-9.7,-2.6,111.8,56.4,368.9,319.1,221.3,302.5,438.5,49.6 M,51.3 M,395.9,27.3,1.9,348.6,🟢 No
AVGO,369.3,-2.2,-2.5,6.6,42.1,389.9,409.7,360.2,360.5,494.2,76.5 M,124.0 M,370.4,17.9,1.4,523.7,🟢 No
GOOGL,361.2,1.1,5.1,14.8,50.4,358.5,370.3,315.3,330.2,376,96.1 M,150.9 M,360.2,11.6,1.2,432.6,🟢 No
MDB,359.4,7,22.2,-10.1,58.6,339.6,314.9,332.4,290.6,392.5,5.3 M,9.9 M,354.5,21.5,1.6,394.7,🟢 No
PANW,352,3.2,20.1,96.3,81.4,290,248,200.7,251.1,358.1,27.2 M,38.0 M,350.4,13.6,0.9,317.3,🟢 No
SIMO,317,-4.9,-2.5,240.1,57.7,298.4,260.5,144.8,239.1,355,2.7 M,5.1 M,320.9,24.7,1.7,256.7,🟢 No
IBM,286.2,1.8,10.8,-0.5,60.2,273.8,254.2,271.3,243.7,318.3,20.8 M,43.0 M,286.6,12.4,0.7,293.9,🟢 No
MRVL,272,-8.7,-3.3,204.7,52.5,284.9,221.7,121.7,244,329.9,103.0 M,206.0 M,278.6,26.7,2.3,249.3,🟢 No
DDOG,264.5,1.6,19.7,97.7,71.8,234.6,205.3,155.5,212.7,271.3,14.4 M,27.8 M,265.7,12.5,1.6,242.1,🟢 No
SNOW,261.2,2.6,15,20.5,69.4,239.5,196.2,206.3,217.5,263.6,18.2 M,41.4 M,259.6,13.6,1.4,292.5,🟢 No
CRDO,259.1,-4.7,-3.3,80.9,54.7,249.7,216.2,158.3,200,308.7,26.1 M,41.5 M,261.2,26.1,3.2,269.8,🟢 No
NET,246.3,0.4,8.7,25.7,58.9,236.4,224.8,208.1,212.3,276.8,8.7 M,19.7 M,247.6,12.6,1.7,243.6,🟢 No
AMZN,241.7,1.4,6.5,6.7,47.8,240.6,255.6,232.9,225.6,257.1,197.2 M,240.1 M,240.5,8.4,1.4,313,🟢 No
FSLR,232.1,-1.6,-6.7,-15.4,39.3,261.9,244.2,234.9,227.4,321,5.4 M,12.1 M,234.7,14.4,1.7,247.3,🟢 No
ADBE,211,2.9,9.1,-36.7,44.2,215.9,235.5,289.3,190.1,265.9,19.7 M,30.4 M,210.6,9.2,1.4,279.9,🟢 No
NVDA,197.6,-1.3,0.9,4.8,43.3,204.5,209.7,190.7,189.8,222.6,461.1 M,754.0 M,197,7.1,2.2,301.6,🟢 No
QCOM,181.9,-1.6,-11.2,6.2,40.1,209.2,201.2,166.9,181.6,254.2,66.9 M,112.9 M,184.8,16,1.6,215.4,🟢 No
FANG,172,-2.2,-5.8,14.2,30.8,188.8,194.7,167.1,171.5,211.7,8.5 M,12.4 M,174.1,5.9,0.4,232.9,🟢 No
COIN,159.2,8.9,11.7,-32.7,47,158,179.5,231.8,139.2,176.5,27.8 M,44.5 M,156.7,11.2,3.3,229.4,🟢 No
DHI,157.1,-3.6,-5.9,8.4,52.9,155.2,150.8,151.3,143.6,170.8,6.0 M,11.1 M,159.3,5.1,1.4,168.2,🟢 No
SMTC,147,-9.2,-9.4,95.4,46.8,160.1,141.4,92.8,141.4,177.4,10.6 M,17.4 M,146.9,13.6,2.3,205.2,🟢 No
ZS,146.4,3.8,18.3,-33.6,58.9,130.1,141.5,205.7,119.5,149.6,9.6 M,22.3 M,146.4,8.4,1,192.6,🟢 No
ORCL,142.5,-2.8,-6.5,-26.7,27.5,182.6,187.2,199.9,142.5,240.5,116.1 M,136.1 M,144.2,10.3,1.7,252.9,🟢 No
PLTR,125.7,7.8,17.2,-25.1,48.4,126.6,134.9,158.1,106.4,151.7,141.5 M,204.7 M,124.4,6.7,1.5,182.8,🟢 No
RMBS,123.8,-6.7,0.1,24.7,44.2,138.6,135.5,109,110.5,174.1,10.8 M,14.0 M,126.5,12.2,1.8,144.6,🟢 No
BABA,98,2.1,3.1,-36.5,25.8,108.7,122.8,146.1,92,127.7,44.7 M,55.8 M,97.7,3.7,0.5,191.4,🟢 No
DIS,95.7,-0.6,-1.6,-13.8,37.2,99.2,101.4,105.4,95.7,103.7,34.7 M,44.6 M,96.4,2.3,1.4,129.9,🟢 No
MSTR,93.4,7.4,9.4,-40.6,35.3,110.6,146.3,182.4,81.8,138.2,114.9 M,100.0 M,92.7,10.2,3.5,321,🟢 No
P,77.1,-2.1,7.6,11.8,53.4,73.5,75.9,75.6,64.8,83.7,9.3 M,16.2 M,77.1,4.5,1.4,93.7,🟢 No
NFLX,74.2,3.9,4.6,-18.5,37.5,77.5,84.4,96.3,70.9,83.7,135.4 M,197.2 M,73.6,2.5,1.5,114.1,🟢 No
TRMB,52.6,2.7,4.7,-32.9,48.7,51.3,57.1,70.2,47.9,57.3,10.1 M,12.8 M,52.6,1.8,1.4,85.3,🟢 No
OKLO,52.5,0.2,2.8,-32.6,40.7,57,64.1,84.2,49.6,70.8,26.0 M,67.7 M,52.8,4.6,1.1,88.6,🟢 No
NTNX,51.2,0.5,9.1,1.2,59,49.8,47,51.3,44.8,56,14.5 M,18.4 M,51.5,2.1,0.6,57,🟢 No
DOCU,46,3.6,8.4,-29,50.9,45.2,47,57.4,41.4,54.3,10.5 M,18.1 M,45.8,2.2,0.9,59.3,🟢 No
SYM,45,0,10.3,-30.7,51.6,42.4,49.4,57.8,38.2,49.6,8.1 M,10.4 M,45.4,2.6,1.9,65.7,🟢 No
CRNX,38.7,3.4,10.5,-17.2,62.4,35.3,36.7,41.8,32.5,39.4,2.8 M,5.7 M,38.5,1.7,0.2,83.1,🟢 No
UPST,35.7,0.9,8.4,-22,63.8,32.1,31.3,38.9,29.1,36.9,13.4 M,22.5 M,35.9,2.2,2.3,40.1,🟢 No
SMCI,27.6,-5.7,-12.7,-10.7,40.4,34,33.5,35.1,27.5,50,199.0 M,245.4 M,27.9,3.1,1.9,37.2,🟢 No
UMC,25.7,-5.5,-7.3,227.9,59.5,23.4,19.1,11.3,18.7,29,46.1 M,79.5 M,26,1.7,1.6,16.2,🟢 No
SOFI,18.4,2.8,6.6,-32.8,60.6,17.2,16.9,22.4,15.7,18.8,232.2 M,347.0 M,18.4,0.9,2.2,20.9,🟢 No
AMPX,13.6,-1.9,8.2,55.5,39.7,16.1,17.9,13.9,11.8,23.4,20.7 M,41.3 M,13.6,1.5,2.1,22.1,🟢 No
SMR,10.1,1.2,0.8,-37.8,45.1,10.5,11.5,19.7,9.1,13.5,67.1 M,172.5 M,10.2,1,2.2,15.4,🟢 No
PDYN,6.1,-0.5,3.8,28.2,44.1,6.6,6.6,6.8,5.6,8.5,5.4 M,9.1 M,6.1,0.6,3.6,11.2,🟢 No
NIO,5,-1.8,5.1,-3.3,41.1,5.2,5.7,5.8,4.7,5.9,75.3 M,163.6 M,5,0.2,0.9,7.3,🟢 No
CAN,0.3,0.3,-3,-62.6,31.1,0.3,0.4,0.7,0.3,0.4,19.7 M,48.3 M,0.3,0,2.5,1.7,🟢 No
